時間,客隊,主隊,客隊得分,主隊得分,總分,總分單雙,第一節單雙,第二節單雙,上半場單雙,第三節單雙,第四節單雙
2002-01-04,洛杉矶快船,丹佛掘金,82,80,162,雙,雙,單,單,單,雙
2001-11-30,洛杉矶快船,丹佛掘金,93,96,189,單,雙,單,單,單,單
2001-03-05,丹佛掘金,洛杉矶快船,86,99,185,單,單,單,雙,單,雙
2001-01-10,丹佛掘金,洛杉矶快船,86,92,178,雙,單,單,雙,單,單
2000-12-26,洛杉矶快船,丹佛掘金,108,109,217,單,雙,單,單,雙,雙
2000-11-12,洛杉矶快船,丹佛掘金,79,95,174,雙,雙,單,單,單,雙
2000-04-15,丹佛掘金,洛杉矶快船,115,114,229,單,雙,雙,雙,雙,雙
2000-03-17,洛杉矶快船,丹佛掘金,87,114,201,單,單,單,雙,雙,單
2000-03-14,丹佛掘金,洛杉矶快船,106,110,216,雙,單,單,雙,雙,雙
1999-12-28,洛杉矶快船,丹佛掘金,105,128,233,單,單,單,雙,單,雙
1999-04-18,丹佛掘金,洛杉矶快船,103,101,204,雙,單,單,雙,單,單
1999-04-04,洛杉矶快船,丹佛掘金,80,82,162,雙,雙,單,單,單,雙
1999-03-29,洛杉矶快船,丹佛掘金,88,100,188,雙,雙,單,單,雙,單
1998-03-08,洛杉矶快船,丹佛掘金,100,89,189,單,單,雙,單,雙,雙
1998-01-24,丹佛掘金,洛杉矶快船,99,81,180,雙,單,單,雙,單,單
1997-12-27,丹佛掘金,洛杉矶快船,103,105,208,雙,單,雙,單,單,雙
1997-12-07,洛杉矶快船,丹佛掘金,92,100,192,雙,雙,單,單,單,雙
1997-04-12,丹佛掘金,洛杉矶快船,94,116,210,雙,雙,雙,雙,雙,雙
1997-03-02,洛杉矶快船,丹佛掘金,107,109,216,雙,單,雙,單,雙,雙
1997-01-24,丹佛掘金,洛杉矶快船,111,114,225,單,單,雙,單,單,單
1996-11-05,洛杉矶快船,丹佛掘金,82,78,160,雙,雙,雙,雙,雙,雙
1996-02-08,洛杉矶快船,丹佛掘金,95,115,210,雙,單,雙,單,雙,單
1996-01-25,丹佛掘金,洛杉矶快船,93,94,187,單,雙,雙,雙,單,雙
1995-12-23,洛杉矶快船,丹佛掘金,107,92,199,單,單,雙,單,單,單
1995-11-12,丹佛掘金,洛杉矶快船,103,108,211,單,單,單,雙,單,雙
1995-04-13,丹佛掘金,洛杉矶快船,125,103,228,雙,雙,雙,雙,單,單
1995-03-27,洛杉矶快船,丹佛掘金,104,113,217,單,雙,單,單,雙,雙
1995-03-04,丹佛掘金,洛杉矶快船,101,89,190,雙,雙,雙,雙,單,單
1995-02-21,洛杉矶快船,丹佛掘金,80,118,198,雙,單,單,雙,單,單
1994-04-20,丹佛掘金,洛杉矶快船,100,85,185,單,雙,單,單,單,單
1994-04-05,洛杉矶快船,丹佛掘金,92,91,183,單,單,雙,單,單,單
1994-03-17,丹佛掘金,洛杉矶快船,102,99,201,單,單,單,雙,單,雙
1993-11-07,洛杉矶快船,丹佛掘金,97,99,196,雙,雙,單,單,單,雙
1993-04-18,洛杉矶快船,丹佛掘金,83,94,177,單,雙,單,單,單,單
1993-04-10,丹佛掘金,洛杉矶快船,101,118,219,單,單,雙,單,單,單
1992-11-28,洛杉矶快船,丹佛掘金,121,119,240,雙,雙,單,單,單,雙
1992-11-27,丹佛掘金,洛杉矶快船,109,106,215,單,雙,單,單,單,單
1992-04-11,丹佛掘金,洛杉矶快船,88,122,210,雙,單,單,雙,雙,雙
1992-03-21,洛杉矶快船,丹佛掘金,114,87,201,單,單,雙,單,雙,雙
1991-12-06,洛杉矶快船,丹佛掘金,102,100,202,雙,雙,雙,雙,雙,雙
1991-11-08,丹佛掘金,洛杉矶快船,82,106,188,雙,單,雙,單,雙,單
1991-04-12,丹佛掘金,洛杉矶快船,130,146,276,雙,雙,雙,雙,雙,雙
1991-03-12,洛杉矶快船,丹佛掘金,126,123,249,單,雙,雙,雙,雙,雙
1991-02-24,丹佛掘金,洛杉矶快船,112,129,241,單,單,單,雙,雙,單
1990-12-01,洛杉矶快船,丹佛掘金,137,121,258,雙,單,單,雙,單,單
1990-03-20,洛杉矶快船,丹佛掘金,112,119,231,單,雙,雙,雙,單,雙
1990-02-23,洛杉矶快船,丹佛掘金,112,121,233,單,雙,單,單,單,單
1989-12-16,丹佛掘金,洛杉矶快船,108,114,222,雙,單,單,雙,單,單
1989-11-14,丹佛掘金,洛杉矶快船,121,129,250,雙,雙,雙,雙,雙,雙
1989-03-27,丹佛掘金,洛杉矶快船,118,119,237,單,雙,單,單,單,單
1988-12-17,洛杉矶快船,丹佛掘金,99,114,213,單,雙,雙,雙,單,雙
1988-12-16,丹佛掘金,洛杉矶快船,118,121,239,單,單,雙,單,單,單
1988-11-19,洛杉矶快船,丹佛掘金,107,134,241,單,單,雙,單,雙,雙
1988-04-23,洛杉矶快船,丹佛掘金,109,134,243,單,雙,單,單,單,單
1988-03-23,丹佛掘金,洛杉矶快船,118,108,226,雙,單,雙,單,單,雙
1988-01-30,洛杉矶快船,丹佛掘金,106,124,230,雙,雙,單,單,雙,單
1987-11-21,丹佛掘金,洛杉矶快船,97,91,188,雙,雙,雙,雙,單,單
1987-11-06,洛杉矶快船,丹佛掘金,93,139,232,雙,單,雙,單,雙,單
1987-03-24,洛杉矶快船,丹佛掘金,119,128,247,單,單,單,雙,雙,單
1987-02-20,丹佛掘金,洛杉矶快船,107,121,228,雙,單,單,雙,單,單
1987-02-02,洛杉矶快船,丹佛掘金,112,140,252,雙,雙,單,單,單,雙
1987-01-14,丹佛掘金,洛杉矶快船,105,123,228,雙,雙,雙,雙,雙,雙
1986-11-11,丹佛掘金,洛杉矶快船,112,115,227,單,單,雙,單,單,單
1986-04-09,丹佛掘金,洛杉矶快船,127,132,259,單,雙,單,單,雙,雙
1986-03-21,洛杉矶快船,丹佛掘金,104,115,219,單,雙,雙,雙,單,雙
1986-03-09,丹佛掘金,洛杉矶快船,123,121,244,雙,單,雙,單,雙,單
1985-12-11,洛杉矶快船,丹佛掘金,95,134,229,單,雙,雙,雙,單,雙
1985-11-16,洛杉矶快船,丹佛掘金,109,113,222,雙,單,雙,單,雙,單
